JT1
Wavelength = 1.54059
32	3.00
32.02	7.00
32.04	4.00
32.06	5.00
32.08	6.00
32.1	4.00
32.12	3.00
32.14	5.00
32.16	2.00
32.18	2.00
32.2	2.00
32.22	3.00
32.24	4.00
32.26	10.00
32.28	5.00
32.3	6.00
32.32	8.00
32.34	4.00
32.36	6.00
32.38	7.00
32.4	5.00
32.42	4.00
32.44	3.00
32.46	7.00
32.48	5.00
32.5	1.00
32.52	3.00
32.54	7.00
32.56	3.00
32.58	1.00
32.6	6.00
32.62	4.00
32.64	5.00
32.66	5.00
32.68	7.00
32.7	8.00
32.72	0.00
32.74	2.00
32.76	4.00
32.78	73.00
32.8	32.00
32.82	56.00
32.84	679.00
32.86	218.00
32.88	12.00
32.9	11.00
32.92	10.00
32.94	6.00
32.96	16.00
32.98	12.00
33	4.00
33.02	7.00
33.04	4.00
33.06	3.00
33.08	4.00
33.1	5.00
33.12	5.00
33.14	5.00
33.16	5.00
33.18	4.00
33.2	6.00
33.22	7.00
33.24	9.00
33.26	3.00
33.28	4.00
33.3	6.00
33.32	2.00
33.34	9.00
33.36	8.00
33.38	10.00
33.4	6.00
33.42	9.00
33.44	5.00
33.46	6.00
33.48	7.00
33.5	2.00
33.52	1.00
33.54	2.00
33.56	4.00
33.58	9.00
33.6	8.00
33.62	5.00
33.64	5.00
33.66	5.00
33.68	7.00
33.7	10.00
33.72	9.00
33.74	6.00
33.76	2.00
33.78	6.00
33.8	8.00
33.82	8.00
33.84	5.00
33.86	5.00
33.88	2.00
33.9	14.00
33.92	4.00
33.94	3.00
33.96	6.00
33.98	6.00
34	7.00
34.02	7.00
34.04	6.00
34.06	9.00
34.08	5.00
34.1	5.00
34.12	5.00
34.14	6.00
34.16	5.00
34.18	9.00
34.2	6.00
34.22	6.00
34.24	9.00
34.26	14.00
34.28	4.00
34.3	6.00
34.32	8.00
34.34	4.00
34.36	8.00
34.38	9.00
34.4	6.00
34.42	6.00
34.44	3.00
34.46	8.00
34.48	6.00
34.5	6.00
34.52	15.00
34.54	6.00
34.56	5.00
34.58	5.00
34.6	8.00
34.62	10.00
34.64	10.00
34.66	6.00
34.68	5.00
34.7	5.00
34.72	8.00
34.74	8.00
34.76	11.00
34.78	9.00
34.8	4.00
34.82	6.00
34.84	8.00
34.86	5.00
34.88	7.00
34.9	6.00
34.92	8.00
34.94	4.00
34.96	7.00
34.98	12.00
35	12.00
35.02	14.00
35.04	3.00
35.06	7.00
35.08	6.00
35.1	7.00
35.12	9.00
35.14	10.00
35.16	4.00
35.18	3.00
35.2	8.00
35.22	11.00
35.24	5.00
35.26	15.00
35.28	6.00
35.3	5.00
35.32	7.00
35.34	9.00
35.36	12.00
35.38	9.00
35.4	8.00
35.42	9.00
35.44	10.00
35.46	8.00
35.48	9.00
35.5	12.00
35.52	20.00
35.54	7.00
35.56	10.00
35.58	10.00
35.6	11.00
35.62	10.00
35.64	12.00
35.66	9.00
35.68	8.00
35.7	12.00
35.72	12.00
35.74	14.00
35.76	8.00
35.78	12.00
35.8	9.00
35.82	15.00
35.84	20.00
35.86	16.00
35.88	11.00
35.9	10.00
35.92	11.00
35.94	20.00
35.96	11.00
35.98	11.00
36	16.00
36.02	16.00
36.04	12.00
36.06	18.00
36.08	15.00
36.1	22.00
36.12	16.00
36.14	17.00
36.16	19.00
36.18	18.00
36.2	22.00
36.22	29.00
36.24	12.00
36.26	16.00
36.28	21.00
36.3	23.00
36.32	20.00
36.34	23.00
36.36	23.00
36.38	25.00
36.4	25.00
36.42	32.00
36.44	22.00
36.46	27.00
36.48	25.00
36.5	28.00
36.52	32.00
36.54	25.00
36.56	30.00
36.58	29.00
36.6	22.00
36.62	36.00
36.64	36.00
36.66	29.00
36.68	34.00
36.7	37.00
36.72	39.00
36.74	40.00
36.76	35.00
36.78	32.00
36.8	51.00
36.82	48.00
36.84	59.00
36.86	45.00
36.88	53.00
36.9	59.00
36.92	58.00
36.94	56.00
36.96	81.00
36.98	81.00
37	69.00
37.02	79.00
37.04	67.00
37.06	87.00
37.08	89.00
37.1	100.00
37.12	108.00
37.14	101.00
37.16	124.00
37.18	111.00
37.2	138.00
37.22	116.00
37.24	143.00
37.26	146.00
37.28	186.00
37.3	193.00
37.32	188.00
37.34	227.00
37.36	238.00
37.38	268.00
37.4	289.00
37.42	308.00
37.44	372.00
37.46	408.00
37.48	466.00
37.5	552.00
37.52	584.00
37.54	667.00
37.56	699.00
37.58	827.00
37.6	927.00
37.62	1088.00
37.64	1143.00
37.66	1320.00
37.68	1486.00
37.7	1726.00
37.72	1876.00
37.74	2222.00
37.76	2510.00
37.78	2670.00
37.8	3027.00
37.82	3232.00
37.84	3524.00
37.86	3823.00
37.88	4270.00
37.9	4474.00
37.92	4671.00
37.94	4898.00
37.96	5124.00
37.98	5192.00
38	5426.00
38.02	5299.00
38.04	5271.00
38.06	5407.00
38.08	5172.00
38.1	4936.00
38.12	4861.00
38.14	4598.00
38.16	4352.00
38.18	4077.00
38.2	3937.00
38.22	3725.00
38.24	3483.00
38.26	3209.00
38.28	2832.00
38.3	2582.00
38.32	2345.00
38.34	2135.00
38.36	1940.00
38.38	1788.00
38.4	1526.00
38.42	1414.00
38.44	1287.00
38.46	1153.00
38.48	1096.00
38.5	964.00
38.52	879.00
38.54	798.00
38.56	706.00
38.58	709.00
38.6	599.00
38.62	560.00
38.64	465.00
38.66	453.00
38.68	395.00
38.7	375.00
38.72	402.00
38.74	350.00
38.76	306.00
38.78	259.00
38.8	249.00
38.82	214.00
38.84	191.00
38.86	213.00
38.88	200.00
38.9	188.00
38.92	158.00
38.94	131.00
38.96	140.00
38.98	113.00
39	118.00
39.02	124.00
39.04	101.00
39.06	93.00
39.08	93.00
39.1	71.00
39.12	72.00
39.14	92.00
39.16	69.00
39.18	62.00
39.2	57.00
39.22	52.00
39.24	51.00
39.26	57.00
39.28	42.00
39.3	35.00
39.32	45.00
39.34	40.00
39.36	31.00
39.38	36.00
39.4	30.00
39.42	32.00
39.44	30.00
39.46	30.00
39.48	24.00
39.5	26.00
39.52	40.00
39.54	17.00
39.56	24.00
39.58	21.00
39.6	15.00
39.62	20.00
39.64	25.00
39.66	23.00
39.68	15.00
39.7	12.00
39.72	21.00
39.74	17.00
39.76	12.00
39.78	14.00
39.8	22.00
39.82	15.00
39.84	19.00
39.86	20.00
39.88	8.00
39.9	19.00
39.92	8.00
39.94	11.00
39.96	12.00
39.98	15.00
40	12.00
40.02	10.00
40.04	9.00
40.06	11.00
40.08	13.00
40.1	12.00
40.12	10.00
40.14	15.00
40.16	12.00
40.18	13.00
40.2	11.00
40.22	5.00
40.24	6.00
40.26	5.00
40.28	6.00
40.3	8.00
40.32	13.00
40.34	8.00
40.36	6.00
40.38	12.00
40.4	8.00
40.42	8.00
40.44	6.00
40.46	3.00
40.48	9.00
40.5	9.00
40.52	9.00
40.54	7.00
40.56	4.00
40.58	6.00
40.6	10.00
40.62	6.00
40.64	7.00
40.66	6.00
40.68	5.00
40.7	7.00
40.72	3.00
40.74	3.00
40.76	6.00
40.78	5.00
40.8	6.00
40.82	3.00
40.84	6.00
40.86	5.00
40.88	4.00
40.9	6.00
40.92	4.00
40.94	6.00
40.96	4.00
40.98	4.00
41	8.00
