4.315834e+09	-25.6163816	-53.3540823	0.03126506	-0.04202803
4.31583414e+09	-25.6012913	-53.6071441	0.03113317	-0.04223903
4.31583429e+09	-25.6231146	-53.2991265	0.0312811	-0.04196548
4.31583443e+09	-25.6011092	-53.3958252	0.0312894	-0.0421248
4.31583457e+09	-25.6095911	-53.2613991	0.03135751	-0.04201023
4.31583472e+09	-25.6105987	-53.3109552	0.03131753	-0.04203246
4.31583486e+09	-25.5944499	-53.4023599	0.03130859	-0.04216068
4.315835e+09	-25.5988803	-53.4098847	0.03128709	-0.04214329
4.31583514e+09	-25.6230825	-53.3382403	0.03125256	-0.04198698
4.31583529e+09	-25.6127169	-53.4829324	0.03118362	-0.042116
4.31583543e+09	-25.5986406	-53.4993747	0.03122209	-0.04219327
4.31583557e+09	-25.590903	-53.390673	0.03132998	-0.04217151
4.31583572e+09	-25.5980328	-53.4357809	0.03127109	-0.04216154
4.31583586e+09	-25.5788192	-53.3996225	0.031367	-0.04223512
4.315836e+09	-25.5819032	-53.3676089	0.03137945	-0.0422026
4.31583615e+09	-25.5943156	-53.3622249	0.0313386	-0.04213939
4.31583629e+09	-25.6044763	-53.3513091	0.03130998	-0.04208416
4.31583643e+09	-25.5906008	-53.3511959	0.03136012	-0.04215138
4.31583658e+09	-25.5988275	-53.417675	0.03128155	-0.0421478
4.31583672e+09	-25.6173972	-53.5331998	0.03112988	-0.04212064
4.31583686e+09	-25.6105355	-53.4305416	0.03122996	-0.04209804
4.315837e+09	-25.6114761	-53.4006968	0.0312485	-0.04207721
4.31583715e+09	-25.603408	-53.5720955	0.03115141	-0.04220969
4.31583729e+09	-25.6049617	-53.3581575	0.0313032	-0.04208555
4.31583743e+09	-25.6192047	-53.3961145	0.03122407	-0.04203729
4.31583758e+09	-25.5971339	-53.6539259	0.03111356	-0.04228467
4.31583772e+09	-25.6229706	-53.546091	0.03110044	-0.04210062
4.31583786e+09	-25.6106226	-53.4921803	0.03118434	-0.04213119
4.31583801e+09	-25.629108	-53.3029698	0.03125671	-0.04193863
4.31583815e+09	-25.5981855	-53.5150103	0.03121221	-0.042204
4.31583829e+09	-25.5947056	-53.4373856	0.03128189	-0.04217857
4.31583843e+09	-25.5948128	-53.481405	0.03124909	-0.04220207
4.31583858e+09	-25.5896529	-53.4027614	0.03132559	-0.04218419
4.31583872e+09	-25.6226437	-53.380405	0.03122323	-0.04201209
4.31583886e+09	-25.6012016	-53.4867082	0.03122221	-0.04217393
4.31583901e+09	-25.6151442	-53.4616694	0.03119053	-0.04209266
4.31583915e+09	-25.6050804	-53.3814921	0.03128563	-0.04209772
4.31583929e+09	-25.6008735	-53.4885006	0.03122207	-0.0421765
4.31583944e+09	-25.6097603	-53.6966645	0.03103686	-0.04224641
4.31583958e+09	-25.6024922	-53.5243791	0.03118984	-0.04218818
4.31583972e+09	-25.6191969	-53.4370037	0.03119409	-0.0420596
4.31583987e+09	-25.6167384	-53.4243789	0.03121219	-0.04206463
4.31584001e+09	-25.6212191	-53.6825013	0.03100637	-0.04218305
4.31584015e+09	-25.6240984	-53.5449232	0.03109726	-0.04209452
4.31584029e+09	-25.5965687	-53.6242133	0.03113751	-0.04227128
4.31584044e+09	-25.6111559	-53.740497	0.03099955	-0.04226335
4.31584058e+09	-25.5984903	-53.4574452	0.0312535	-0.04217114
4.31584072e+09	-25.6042475	-53.5485377	0.03116575	-0.0421928
4.31584087e+09	-25.5960022	-53.666246	0.03110852	-0.04229687
4.31584101e+09	-25.6183244	-53.6523454	0.03103891	-0.04218078
4.31584115e+09	-25.6180078	-53.5310663	0.03112926	-0.04211652
4.3158413e+09	-25.6052871	-53.6032909	0.03112169	-0.04221751
4.31584144e+09	-25.606095	-53.6470175	0.03108657	-0.04223732
4.31584158e+09	-25.6051498	-53.6962021	0.03105368	-0.04226859
4.31584173e+09	-25.6036573	-53.6791726	0.03107158	-0.04226662
4.31584187e+09	-25.6151091	-53.6699028	0.03103747	-0.04220591
4.31584201e+09	-25.6316908	-53.6796064	0.03097114	-0.04213066
4.31584215e+09	-25.6205395	-53.4884179	0.03115152	-0.04208107
4.3158423e+09	-25.6119444	-53.6861997	0.03103677	-0.04223012
4.31584244e+09	-25.6176608	-53.5506306	0.03111612	-0.04212883
4.31584258e+09	-25.619063	-53.8023247	0.03092576	-0.04225829
4.31584273e+09	-25.5976875	-53.6988573	0.03107841	-0.04230636
4.31584287e+09	-25.5963291	-53.7123032	0.03107334	-0.04232027
4.31584301e+09	-25.6035568	-53.7902357	0.03098995	-0.04232726
4.31584316e+09	-25.5922313	-53.6166844	0.03115862	-0.0422883
4.3158433e+09	-25.6121705	-53.6629438	0.0310531	-0.04221642
4.31584344e+09	-25.5970965	-53.699229	0.03108025	-0.04230944
4.31584359e+09	-25.6226068	-53.5412222	0.03110532	-0.04209974
4.31584373e+09	-25.603688	-53.6434861	0.03109779	-0.04224711
4.31584387e+09	-25.5950863	-53.5212104	0.03121878	-0.04222244
4.31584401e+09	-25.5930241	-53.5867004	0.0311779	-0.04226813
4.31584416e+09	-25.6164598	-53.6177264	0.03107106	-0.04217107
4.3158443e+09	-25.6228474	-53.8356032	0.03088775	-0.04225783
4.31584444e+09	-25.5895213	-53.6118392	0.03117192	-0.04229886
4.31584459e+09	-25.6083323	-53.6523417	0.03107464	-0.04222933
4.31584473e+09	-25.6053546	-53.8788892	0.03091802	-0.04236639
4.31584487e+09	-25.6041291	-53.7239811	0.03103683	-0.04228861
4.31584502e+09	-25.6045719	-53.7654959	0.0310046	-0.04230893
4.31584516e+09	-25.5887793	-53.7035518	0.03110683	-0.04235232
4.3158453e+09	-25.6188979	-53.7202518	0.03098685	-0.04221475
4.31584544e+09	-25.5973045	-53.9133333	0.03092119	-0.04242427
4.31584559e+09	-25.5891262	-53.6299576	0.03115996	-0.04231064
4.31584573e+09	-25.6267933	-53.7128966	0.03096411	-0.04217242
4.31584587e+09	-25.604346	-53.7195435	0.03103933	-0.04228515
4.31584602e+09	-25.6081121	-53.7546648	0.03099996	-0.04228583
4.31584616e+09	-25.6156613	-53.7445588	0.03098048	-0.04224363
4.3158463e+09	-25.5976876	-53.7519138	0.03103922	-0.04233512
4.31584645e+09	-25.5925966	-53.6541388	0.03112966	-0.04230688
4.31584659e+09	-25.6101431	-53.66548	0.03105848	-0.04222765
4.31584673e+09	-25.5884962	-53.8128405	0.031027	-0.04241296
4.31584688e+09	-25.6036137	-53.7031842	0.03105402	-0.04227985
4.31584702e+09	-25.6188256	-53.8164717	0.03091617	-0.04226708
4.31584716e+09	-25.6183969	-53.6917422	0.03100964	-0.04220176
4.3158473e+09	-25.6154751	-53.7081127	0.03100801	-0.04222482
4.31584745e+09	-25.5946366	-53.8290927	0.03099305	-0.04239178
4.31584759e+09	-25.6315395	-53.9134899	0.03079944	-0.04225747
4.31584773e+09	-25.6316868	-53.7731347	0.03090234	-0.04218118
4.31584788e+09	-25.6044504	-53.8018938	0.03097815	-0.04232921
4.31584802e+09	-25.6163323	-53.8451905	0.03090385	-0.04229471
4.31584816e+09	-25.588891	-53.7393268	0.03107998	-0.04237119
4.31584831e+09	-25.6107151	-53.7837203	0.03096923	-0.04228887
4.31584845e+09	-25.6216742	-53.7476003	0.0309568	-0.04221604
4.31584859e+09	-25.5893542	-53.7929171	0.03103868	-0.04239798
4.31584874e+09	-25.5988839	-53.841679	0.03096859	-0.04237786
4.31584888e+09	-25.6192476	-54.0723745	0.03072559	-0.04240268
4.31584902e+09	-25.6338745	-53.9002402	0.03080093	-0.04223899
4.31584916e+09	-25.6284921	-53.9136226	0.03081015	-0.04227237
4.31584931e+09	-25.5999451	-53.9533803	0.03088214	-0.04243297
4.31584945e+09	-25.6197938	-54.0428941	0.03074547	-0.0423842
4.31584959e+09	-25.5884026	-53.9533883	0.0309232	-0.0424894
4.31584974e+09	-25.5796702	-53.9135769	0.03098385	-0.04251062
4.31584988e+09	-25.6138063	-54.0100624	0.03079097	-0.04239579
4.31585002e+09	-25.6011605	-54.042351	0.0308119	-0.04247493
4.31585017e+09	-25.5999011	-53.7894993	0.03100354	-0.04234468
4.31585031e+09	-25.5974283	-53.9430931	0.03089871	-0.04243972
4.31585045e+09	-25.6102913	-53.9318645	0.03086129	-0.04237087
4.3158506e+09	-25.5945957	-54.0380324	0.0308384	-0.04250472
4.31585074e+09	-25.6247397	-53.8542638	0.03086726	-0.04225868
4.31585088e+09	-25.6252259	-54.0865299	0.03069398	-0.04238109
4.31585102e+09	-25.6187327	-54.0084957	0.03077467	-0.04237091
4.31585117e+09	-25.6467879	-53.9076191	0.03074974	-0.0421802
4.31585131e+09	-25.5891634	-53.9817328	0.03089947	-0.04250097
4.31585145e+09	-25.6102966	-54.1035897	0.03073414	-0.04246315
4.3158516e+09	-25.607442	-54.0825212	0.03075986	-0.0424658
4.31585174e+09	-25.5994003	-53.8855141	0.03093432	-0.04239902
4.31585188e+09	-25.6228771	-53.9285935	0.03081902	-0.04230776
4.31585203e+09	-25.6172787	-54.0057536	0.03078185	-0.04237653
4.31585217e+09	-25.6215309	-54.0157557	0.03075939	-0.04236116
4.31585231e+09	-25.5902991	-54.0080875	0.03087588	-0.04250962
4.31585245e+09	-25.6355858	-54.1731116	0.03059339	-0.04237685
4.3158526e+09	-25.6185492	-54.1221894	0.03069118	-0.04243279
4.31585274e+09	-25.6129246	-53.9652753	0.03082723	-0.04237601
4.31585288e+09	-25.6067801	-54.0552698	0.0307824	-0.0424544
4.31585303e+09	-25.5860252	-54.0083249	0.0308909	-0.04253067
4.31585317e+09	-25.6258852	-54.172094	0.03062833	-0.04242366
4.31585331e+09	-25.6377597	-54.0704042	0.03066163	-0.04231135
4.31585346e+09	-25.6025707	-54.1424859	0.03073263	-0.04252181
4.3158536e+09	-25.5888583	-54.1939625	0.03074291	-0.04261663
4.31585374e+09	-25.6249042	-54.1399874	0.03065556	-0.04241128
